# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
1.192,1,4,7,10,219.000,37.000,0.000,0,0.000,155.960,155.960,-0.134226,-0.154189,0.009981,37.000,9.2500,200.000,1
1.210,1,4,7,10,41.000,215.000,0.000,0,0.000,12.125,12.125,-0.149968,-0.151520,0.000776,215.000,53.7500,200.000,1
1.214,0,3,5,8,73.000,183.000,0.000,0,0.000,233.072,233.072,-0.120379,-0.150212,0.014917,183.000,45.7500,200.000,1
1.218,0,3,6,9,233.000,23.000,0.000,0,0.000,42.396,42.396,-0.143529,-0.148956,0.002713,23.000,5.7500,200.000,1
1.222,0,3,6,9,57.000,199.000,0.000,0,0.000,-35.188,-35.188,-0.151795,-0.147291,-0.002252,199.000,49.7500,200.000,1
1.226,0,3,6,9,37.000,219.000,0.000,0,0.000,14.288,14.288,-0.147396,-0.149225,0.000914,219.000,54.7500,200.000,1
1.233,2,5,8,11,225.000,31.000,0.000,0,0.000,26.380,26.380,-0.144047,-0.147423,0.001688,31.000,7.7500,200.000,1
1.237,1,4,7,10,173.000,83.000,0.000,0,0.000,50.385,50.385,-0.138338,-0.144787,0.003225,83.000,20.7500,200.000,1
1.244,0,3,15,18,255.000,1.000,0.000,0,0.000,-22.271,-22.271,-0.151200,-0.148349,-0.001425,1.000,0.2500,232.147,0
1.255,2,5,8,11,17.000,239.000,0.000,0,0.000,-4.626,-4.626,-0.149165,-0.148573,-0.000296,239.000,59.7500,200.000,1
1.262,1,4,7,10,81.000,175.000,0.000,0,0.000,39.345,39.345,-0.149739,-0.154776,0.002518,175.000,43.7500,200.000,1
1.269,8,11,13,16,149.000,107.000,0.000,0,0.000,16.323,16.323,-0.144321,-0.146411,0.001045,107.000,26.7500,200.000,1
1.273,0,3,6,9,215.000,41.000,0.000,0,0.000,-6.086,-6.086,-0.143871,-0.143092,-0.000389,41.000,10.2500,200.000,1
1.276,2,5,8,11,151.000,105.000,0.000,0,0.000,94.485,94.485,-0.135209,-0.147303,0.006047,105.000,26.2500,200.000,1
1.283,1,4,7,10,249.000,7.000,0.000,0,0.000,17.665,17.665,-0.148744,-0.151005,0.001131,7.000,1.7500,200.000,1
1.313,0,3,6,9,49.000,207.000,0.000,0,0.000,3.821,3.821,-0.147990,-0.148479,0.000245,207.000,51.7500,200.000,1
1.331,0,3,5,8,209.000,47.000,0.000,0,0.000,32.334,32.334,-0.135659,-0.139798,0.002069,47.000,11.7500,200.000,1
1.334,0,3,5,8,97.000,159.000,0.000,0,0.000,60.184,60.184,-0.145712,-0.153416,0.003852,159.000,39.7500,200.000,1
1.345,1,4,17,20,37.000,219.000,0.000,0,0.000,9.073,9.073,-0.148718,-0.149880,0.000581,219.000,54.7500,232.128,0
1.349,4,7,10,13,35.000,221.000,0.000,0,0.000,53.171,53.171,-0.146360,-0.153166,0.003403,221.000,55.2500,200.000,1
1.352,0,3,5,8,125.000,131.000,0.000,0,0.000,-43.214,-43.214,-0.154250,-0.148718,-0.002766,131.000,32.7500,200.000,1
1.356,3,6,19,22,195.000,61.000,0.000,0,0.000,-192.811,-192.811,-0.154409,-0.129729,-0.012340,61.000,15.2500,215.533,0
1.370,1,4,7,10,91.000,165.000,0.000,0,0.000,4.391,4.391,-0.149475,-0.150037,0.000281,165.000,41.2500,200.000,1
1.382,0,3,5,8,155.000,101.000,0.000,0,0.000,-229.505,-229.505,-0.148144,-0.118767,-0.014688,101.000,25.2500,200.000,1
1.391,2,5,8,11,129.000,127.000,0.000,0,0.000,-105.887,-105.887,-0.151901,-0.138348,-0.006777,127.000,31.7500,200.000,1
1.394,9,12,15,18,29.000,227.000,0.000,0,0.000,-10.486,-10.486,-0.147600,-0.146258,-0.000671,227.000,56.7500,200.000,1
1.410,2,5,8,11,59.000,197.000,0.000,0,0.000,-33.376,-33.376,-0.153620,-0.149348,-0.002136,197.000,49.2500,200.000,1
